created_at,id_str,text,retweet_count,favorite_count
Tue Jul 21 20:31:09 +0000 2020,1285673690454204418,Paul Celan écrivait : « Il est temps que la pierre se résolve enfin à fleurir ». Quel sens revêt cette injonction p… https://t.co/1A2efnIqZ6,46,125
Sun Jul 19 13:01:00 +0000 2020,1284835631399604226,"""Ici c'est du concentré de corona. Regardez ici, on vit là et les gens viennent et font leurs besoins"" |… https://t.co/tOCwSBxtxw",51,35
Mon Jul 20 06:15:00 +0000 2020,1285095845755379713,"[REPORTAGE] Poussés hors de Paris, près d'un millier de migrants vivent dans des conditions ""indignes"" au bord du c… https://t.co/dpsl79nMji",92,55
Sat Jul 25 12:49:41 +0000 2020,1287007110971236352,"La Géorgie, pays quasiment pas touché par le Covid19. Il a commencé à prendre des mesures importantes avant même qu… https://t.co/h2SisIMjdm",0,0
Sat Jul 25 12:49:12 +0000 2020,1287006989286100992,RT @AaronTefy: Après ces histoires de corona virus y pas qqn qui veut faire un Big fête ou une big house party ?,3,0
Sat Jul 25 12:49:09 +0000 2020,1287006975751065601,"@khhinss Moi j’aurai attendu, le corona est encore présent",0,0
Sat Jul 25 12:48:46 +0000 2020,1287006880250892288,RT @colormean: Mon masque était dans ma poche pour discuter avec ma mère je l’ai enlevé et l’autre sorcière vient sans masque nous souffler…,2,0
Sat Jul 25 12:48:37 +0000 2020,1287006842347048960,"RT @myriam_tsh: Dieu est vivant, après deux mois dans le coma et avoir vaincu le corona. Auj mon père peut fêter ces 52 ans. Dieu merci ❤️…",2583,0
Sat Jul 25 12:48:34 +0000 2020,1287006831211089920,@mln_khh Askip si tu éternue tt les jour c'est que ta le Corona,0,0
Sat Jul 25 12:48:25 +0000 2020,1287006792472571904,@Lelew__ @eySaro symptômes ou corona,0,0
Sat Jul 25 12:48:23 +0000 2020,1287006783094042625,"RT @flopewe: Vous allez à une Be Fresh, vous attrapez le corona et vous vous plaignez qu’on lance blague? ON VA RIGOLER JUSQU’AAAAAAAAAA",70,0
Sat Jul 25 12:47:59 +0000 2020,1287006684808982528,"RT @myriam_tsh: Dieu est vivant, après deux mois dans le coma et avoir vaincu le corona. Auj mon père peut fêter ces 52 ans. Dieu merci ❤️…",2583,0
Sat Jul 25 12:47:33 +0000 2020,1287006576440745986,"RT @mistermv: J’ai la Corona Song de Renaud dans la tête depuis ce matin, c’est infernal.",90,0
